Family,Samples,TP,FN,Recall
Agenda,3,0,3,0.0
CrypWall,1,0,1,0.0
KeyPass,1,0,1,0.0
Embargo,1,0,1,0.0
Syrk,1,0,1,0.0
Seftad,1,0,1,0.0
PassLock,1,0,1,0.0
Qwerty,1,0,1,0.0
Ransom32,1,0,1,0.0
RansomEXX,1,0,1,0.0
RegretLocker,1,0,1,0.0
Razrusheniye,1,0,1,0.0
CriLock,7,1,6,0.14285714285714285
XiaoBa,19,3,16,0.15789473684210525
Dyre,10,2,8,0.2
DoubleZero,5,1,4,0.2
Angel,4,1,3,0.25
Knight,19,7,12,0.3684210526315789
Genasom,45,19,26,0.4222222222222222
Mimikatz,47,20,27,0.425531914893617
Eternity,13,6,7,0.46153846153846156
Ymir,2,1,1,0.5
Morpheus,2,1,1,0.5
Aura,2,1,1,0.5
BlackCat,46,23,23,0.5
Lyposit,17,9,8,0.5294117647058824
Cactus,38,21,17,0.5526315789473685
GPCode,18,10,8,0.5555555555555556
Sality,892,519,373,0.5818385650224215
KillMBR,192,115,77,0.5989583333333334
Protect,28,17,11,0.6071428571428571
Magania,283,174,109,0.6148409893992933
Magni,29,18,11,0.6206896551724138
Medusa,90,56,34,0.6222222222222222
XWorm,968,610,358,0.6301652892561983
RansomLock,11,7,4,0.6363636363636364
Ramnit,543,346,197,0.6372007366482505
FlyStudio,305,199,106,0.6524590163934426
Krypter,6,4,2,0.6666666666666666
CloudSword,3,2,1,0.6666666666666666
Pikabot,46,31,15,0.6739130434782609
Meterpreter,206,142,64,0.6893203883495146
Patcher,162,113,49,0.6975308641975309
Blind,45,32,13,0.7111111111111111
Hermes,24,18,6,0.75
Exmatter,4,3,1,0.75
Jalapeno,2116,1603,513,0.7575614366729678
Delshad,115,90,25,0.782608695652174
Hydra,5,4,1,0.8
Epsilon,5,4,1,0.8
Mole,5,4,1,0.8
MoneyMessage,5,4,1,0.8
GlobeImposter,51,41,10,0.803921568627451
Symmi,1543,1251,292,0.8107582631237849
Makop,38,31,7,0.8157894736842105
WinLock,11,9,2,0.8181818181818182
RanHassan,6,5,1,0.8333333333333334
BlackMoon,268,225,43,0.8395522388059702
Babuk,215,182,33,0.8465116279069768
MSILHeracles,1457,1239,218,0.8503774879890186
Diop,15,13,2,0.8666666666666667
MSIL,31892,28057,3835,0.8797504076257369
Brresmon,182,161,21,0.8846153846153846
AvosLocker,9,8,1,0.8888888888888888
Ryuk,30,27,3,0.9
DoTheTuk,102,94,8,0.9215686274509803
Witch,61,57,4,0.9344262295081968
RedLineStealer,194,182,12,0.9381443298969072
Comet,41,39,2,0.9512195121951219
Venus,25,24,1,0.96
LockBit,2201,2151,50,0.9772830531576556
STOP,3066,3011,55,0.9820613176777561
Disabler,3714,3698,16,0.9956919763058697
KillerLocker,1,1,0,1.0
Kodex,1,1,0,1.0
EyeDocx,3,3,0,1.0
Fury,1,1,0,1.0
Kasseika,1,1,0,1.0
Dazx,1,1,0,1.0
EEGO,101,101,0,1.0
BlackSnake,1,1,0,1.0
Alkhal,1,1,0,1.0
Ajef,20,20,0,1.0
Azero,6,6,0,1.0
Amarok,1,1,0,1.0
GhostLocker,1,1,0,1.0
Hawkeye,19,19,0,1.0
InterLock,3,3,0,1.0
EEIA,398,398,0,1.0
Bisamware,2,2,0,1.0
Clay,1,1,0,1.0
Colossus,1,1,0,1.0
Cryptonite,1,1,0,1.0
Converton,1,1,0,1.0
Obfuscate,16,16,0,1.0
Oled,1,1,0,1.0
Troldesh,23,23,0,1.0
ScreenLocker,13,13,0,1.0
Philadelphia,1,1,0,1.0
N3tw0rm,2,2,0,1.0
OctoCrypt,4,4,0,1.0
Weenloc,1,1,0,1.0
WannaPeace,1,1,0,1.0
Wasted,18,18,0,1.0
Yatron,1,1,0,1.0
Zerber,6,6,0,1.0
