Family,Samples,Unknown_Samples,Unknown_Rate
Bisamware,2,2,1.0
Angel,4,4,1.0
Converton,1,1,1.0
EEIA,398,398,1.0
EEGO,101,101,1.0
Embargo,1,1,1.0
Clay,1,1,1.0
Cryptonite,1,1,1.0
BlackSnake,1,1,1.0
GhostLocker,1,1,1.0
Weenloc,1,1,1.0
Ymir,2,2,1.0
Philadelphia,1,1,1.0
Qwerty,1,1,1.0
Razrusheniye,1,1,1.0
RegretLocker,1,1,1.0
Syrk,1,1,1.0
Seftad,1,1,1.0
Oled,1,1,1.0
KillerLocker,1,1,1.0
Ransom32,1,1,1.0
RansomEXX,1,1,1.0
KeyPass,1,1,1.0
Cactus,38,36,0.9473684210526315
BlackCat,46,38,0.8260869565217391
Comet,41,32,0.7804878048780488
Troldesh,23,17,0.7391304347826086
FlyStudio,305,225,0.7377049180327869
Patcher,162,113,0.6975308641975309
Wasted,18,12,0.6666666666666666
Knight,19,12,0.631578947368421
Mole,5,3,0.6
Hydra,5,3,0.6
Blind,45,27,0.6
Hawkeye,19,11,0.5789473684210527
Magania,283,147,0.519434628975265
XiaoBa,19,9,0.47368421052631576
Pikabot,46,21,0.45652173913043476
Delshad,115,52,0.45217391304347826
Mimikatz,47,20,0.425531914893617
Medusa,90,37,0.4111111111111111
Sality,892,355,0.39798206278026904
KillMBR,192,73,0.3802083333333333
GPCode,18,6,0.3333333333333333
BlackMoon,268,86,0.3208955223880597
Meterpreter,206,63,0.3058252427184466
Ramnit,543,166,0.30570902394106814
CriLock,7,2,0.2857142857142857
WinLock,11,3,0.2727272727272727
Obfuscate,16,4,0.25
Genasom,45,11,0.24444444444444444
Magni,29,6,0.20689655172413793
MoneyMessage,5,1,0.2
Lyposit,17,3,0.17647058823529413
Hermes,24,4,0.16666666666666666
Krypter,6,1,0.16666666666666666
Zerber,6,1,0.16666666666666666
Venus,25,4,0.16
Symmi,1543,244,0.15813350615683733
Makop,38,5,0.13157894736842105
Witch,61,8,0.13114754098360656
Ryuk,30,3,0.1
Dyre,10,1,0.1
RansomLock,11,1,0.09090909090909091
Babuk,215,17,0.07906976744186046
DoTheTuk,102,8,0.0784313725490196
RedLineStealer,194,14,0.07216494845360824
Protect,28,2,0.07142857142857142
Diop,15,1,0.06666666666666667
XWorm,968,61,0.06301652892561983
MSIL,31892,1461,0.04581086165809607
Jalapeno,2116,67,0.03166351606805293
MSILHeracles,1457,42,0.028826355525051476
Brresmon,182,4,0.02197802197802198
LockBit,2201,41,0.0186278964107224
STOP,3066,57,0.018590998043052837
Disabler,3714,26,0.007000538502961767
Fury,1,0,0.0
Epsilon,5,0,0.0
DoubleZero,5,0,0.0
CrypWall,1,0,0.0
Dazx,1,0,0.0
CloudSword,3,0,0.0
Colossus,1,0,0.0
Ajef,20,0,0.0
Alkhal,1,0,0.0
Aura,2,0,0.0
Amarok,1,0,0.0
Azero,6,0,0.0
AvosLocker,9,0,0.0
Agenda,3,0,0.0
Eternity,13,0,0.0
Exmatter,4,0,0.0
EyeDocx,3,0,0.0
Kasseika,1,0,0.0
InterLock,3,0,0.0
GlobeImposter,51,0,0.0
Kodex,1,0,0.0
PassLock,1,0,0.0
OctoCrypt,4,0,0.0
Morpheus,2,0,0.0
N3tw0rm,2,0,0.0
RanHassan,6,0,0.0
ScreenLocker,13,0,0.0
WannaPeace,1,0,0.0
Yatron,1,0,0.0
